Model,Threshold,Accuracy,Precision,Recall (Positive),F1 Score,ROC-AUC,False Negatives (FN),False Positives (FP)
Random Forest,0.34,0.9340599455040872,0.8089500860585198,0.9791666666666666,0.885956644674835,0.9895933271832719,10,111
Gradient Boosting,0.34,0.9346049046321526,0.813588850174216,0.9729166666666667,0.8861480075901328,0.9842635301353014,13,107
Gradient Boosting (threshold 0.50),0.5,0.9416893732970028,0.844731977818854,0.9520833333333333,0.8952007835455436,0.9842635301353014,23,84
Random Forest (threshold 0.50),0.5,0.943324250681199,0.8601532567049809,0.9354166666666667,0.8962075848303394,0.9895933271832719,31,73
Logistic Regression (threshold 0.50),0.5,0.7809264305177112,0.5679442508710801,0.6791666666666667,0.618595825426945,0.8121479089790898,154,248
Logistic Regression,0.54,0.7912806539509537,0.5949119373776908,0.6333333333333333,0.6135216952573158,0.8121479089790898,176,207
